,,,,,,,RSU,No.,5,,,,,
Article,4,Other,Instruction-,Adopted,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.9100.1000.51180.010,,Support,Wages -,DCS,$0.00,,$0.00,,"$1,208.75",$0.00,$0.00,$0.00,0.00
,1000.9100.1000.51500.010,,Stipends,,,"$22,852.58","$26,116.20",,"$26,004.00",,"$26,112.00","$30,030.00","$3,918.00",15.00
,1000.9100.1000.52000.010,,Benefits,,,$664.64,,$193.49,,"$1,716.17","$1,496.00","$1,762.00",$266.00,17.78
,1000.9100.1000.52080.010,,Support,Benefits -,DCS,$0.00,,$0.00,,$23.21,$0.00,$0.00,$0.00,0.00
,1000.9100.1000.52300.010,,Retirement,,,$13.67,,$0.00,,$879.57,"$1,245.00","$1,321.00",$76.00,6.10
,1000.9100.1000.52380.010,,Retirement,for Regular,Employees,$0.00,,$0.00,,$46.30,$0.00,$0.00,$0.00,0.00
,1000.9100.1000.56000.010,,Supplies,,,$514.80,,$0.00,,$100.00,$750.00,"$1,250.00",$500.00,66.67
,1000.9100.1000.58100.010,,Dues &,Fees,,$678.50,,$0.00,,$752.00,"$1,609.00","$1,409.00",($200.00),(12.43)
Program:,,CO-CURRICULAR,K-8 - 9100,,,"$24,724.19","$26,309.69",,"$30,730.00",,"$31,212.00","$35,772.00","$4,560.00",14.61
,1000.9200.1000.51500.010,,,EXTRA-CURRICULAR,STIPENDS -,DCS $0.00,,$0.00,"$31,736.00",,$0.00,"$33,975.00","$33,975.00",0.00
,1000.9200.1000.52000.010,,EXTRA-CURR,,STIPEND BENEFITS,$0.00,,$0.00,,"$2,292.50",$0.00,$802.00,$802.00,0.00
,1000.9200.1000.52300.010,,EXTRA-CURR,,STIPEND RETIREMENT,$0.00,,$0.00,,$315.18,$0.00,"$1,609.00","$1,609.00",0.00
Program:,,EXTRA-CURRICULAR,K-8 -,9200,,$0.00,,$0.00,"$34,343.68",,$0.00,"$36,386.00","$36,386.00",0.00
Function:,REGULAR,INSTRUCTION,-,1000,,"$24,724.19","$26,309.69",,"$65,073.68",,"$31,212.00","$72,158.00","$40,946.00",131.19
Cost,Center:,DURHAM,COMMUNITY -,010,,"$24,724.19","$26,309.69",,"$65,073.68",,"$31,212.00","$72,158.00","$40,946.00",131.19
,1000.9100.1000.51500.020,,Stipends,Paid,,$0.00,,$0.00,,"$1,272.00","$1,272.00","$1,272.00",$0.00,0.00
,1000.9100.1000.52000.020,,Employee,Benefits,,$0.00,,$0.00,,$31.21,$0.00,$30.00,$30.00,0.00
,1000.9100.1000.52300.020,,Retirement,- Stipends,,$0.00,,$0.00,,$48.88,$0.00,$57.00,$57.00,0.00
Program:,,CO-CURRICULAR,K-8 - 9100,,,$0.00,,$0.00,,"$1,352.09","$1,272.00","$1,359.00",$87.00,6.84
,Page 33,of 80,,,,,,,,,,,,
