,,Initial,,,Future,Proposed
,Rating Description,Request,Reductions,Reserves,Year,Amount
,3 SpecialEducationTeacher(DCS),"$95,000",,,"($95,000)",$0
,3 DistrictNurse,"$95,000",,,"($95,000)",$0
,3 Grade5Teacher(MLS),"$95,000",,"($95,000)",,$0
,3 .5FTESocialWorker(MSS/MLS),"$47,500",,,"($47,500)",$0
,3 MultilingualTeacher(DW),"$95,000",,"($95,000)",,$0
,504/StandardizedTestingCoordinator,,,,,
,3 (FHS),"$95,000",,,"($95,000)",$0
,OR FacilitiesPaving&CardReaders,$0,"($23,500)",,,"($23,500)"
,ContingencyFunds-Regular&Special,,,,,
,OR Education,$0,"($217,000)",,,"($217,000)"
,OR Tennis&TrackReserves,$0,,"($75,000)",,"($75,000)"
,OR 2SchoolYearBusDrivers,$0,"($119,045)",,,"($119,045)"
,OR SuperintendentOfficeCustodian,$0,"($8,782)",,,"($8,782)"
,TotalYearOverYearExpenditure,,,,,
,Increase/DecreaseAmount,"$4,046,123","($486,182)($667,000)",,"($351,500)","$2,541,441"
,TotalYearOverYearExpenditure,,,,,
,,Increase/Decrease% 10.35%,,,,6.50%
,M=Maintenance,,,,,
,1=Priority1,,,,,
,2=Priority2,,,,,
,3=Priority3,,,,,
,OR=OtherReduction,,,,,
